date,rh,es,H,sw_out,sw_in,vpd,t_dew,vp,Rn,theta_1,wd,lw_in,t_avg,G,lw_out,LE,ws,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2014-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,148.30144616129232,,,1.2530457215682351,0.7980554761788433,,4.460102784431375,0.7980554761788433,,,,0.15704459265902845,1.1,0.7,0.0,,0.22434941808432635,0.15704459265902845,True,0.15704459265902845
2014-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,150.2739442337588,,,1.2603117410213358,0.7934544822931002,,4.502489566688358,0.7934544822931002,,,,0.15853707282717858,1.2,0.8,0.0,,0.1981713410339732,0.15853707282717858,True,0.15853707282717858
2014-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,152.27327951754714,,,1.2669808658640145,0.7892779022499702,,3.419253957273252,0.7892779022499702,,,,0.120395284788534,1.0,0.7,0.0,,0.17199326398362005,0.120395284788534,True,0.120395284788534
2014-02-15,,,,,,,,,,,,,,,,,,,,,,,,,,154.29880270706556,,,1.2628714726514283,0.7918462184441274,,2.484711037452164,0.7918462184441274,,,,0.08748911215996014,0.90000004,0.6,4.1,,0.1458151869332669,0.08748911215996014,True,0.08748911215996014
2014-02-16,,,,,,,,,,,,,,,,,,,,,,,,,,156.34984824611809,,,1.2535764995774985,0.7977175707561819,,1.3590886457800748,0.7977175707561819,,,,0.04785484395316551,0.5,0.4,1.9,,0.11963710988291375,0.04785484395316551,True,0.04785484395316551
2014-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,158.4257346888198,,,1.2446379199737536,0.8034465156108112,,1.5925548998880596,0.8034465156108112,,,,0.056075419699536375,0.90000004,0.6,4.6,,0.09345903283256064,0.056075419699536375,True,0.056075419699536375
2014-02-18,,,,,,,,,,,,,,,,,,-1.416004,5.558922,,,,,,,160.525765090459,,,1.241175386450725,0.8056879075402938,,2.2929536622120152,0.8056879075402938,,,,0.08073714693864899,1.8000001,1.2,0.0,,0.0672809557822075,0.08073714693864899,True,0.08073714693864899
2014-02-19,72.85608812500001,0.5707378682408981,-1.4733722187499991,,160.97292462875,,,,,,170.51105191666662,,-1.7355996770833346,,,0.2813243020833331,,-13.18835,4.02832,,,,,,,162.64922742739955,-1.192047916666666,,1.2313998355704252,0.8120839154869359,-1.4678876085754005,0.346422699327381,0.8120839154869359,,-1.8143103079027816,0.009702782932072405,0.011948005307129491,1.6,1.1,0.0,0.010861823006481352,0.04110287873185442,0.045213166605039865,False,
2014-02-20,81.98290270833333,0.6301593658844983,,,30.06036978916668,,,,,,,,0.29486797749999977,,,,,-7.985206,2.173953,,,,,,,164.79539504504962,,,1.2258743818120854,0.8157442677950425,,0.5205048158558127,0.8157442677950425,,,,0.017986460601098226,0.4,0.3,20.9,,0.05995486867032743,0.017986460601098226,True,0.017986460601098226
2014-02-21,74.23760624999998,0.2653822129532744,,,146.79406696541662,,,,,,,,-11.054012729166667,,,,,-14.42078,-8.672461,,,,,,,166.96352713285756,,,1.2098768569021126,0.8265303979452076,,0.24097748266522795,0.8265303979452076,,,,0.00823887723573155,0.1,0.1,0.0,,0.08238877235731548,0.00823887723573155,True,0.00823887723573155
2014-02-22,63.86585916666667,0.2362126450243088,-23.901120729166664,,156.2463310166667,,,,,,269.60308729166667,,-12.447767291666667,,,1.0514494375000003,,-15.66871,-10.56087,,,,,,,169.15286922523603,-22.849671291666667,,1.1923218220185663,0.8386997382191907,-27.244161707005325,1.2536661090803969,0.8386997382191907,,-28.49782781608572,0.03590168349168229,0.042806360674336505,0.8,0.6,0.0,0.07134393445722753,0.10320543961445758,0.06192326376867455,False,
2014-02-23,61.30680895833334,0.23016883641145755,-22.843196124999995,,167.01670654083333,,,,,,274.4476367708333,,-12.920572125,,,1.9446951458333328,,-17.1961,-9.167107,,,,,,,171.3626537272564,-20.898500979166666,,1.1771049446142376,0.8495419245118551,-24.599728837602573,2.2891102719277225,0.8495419245118551,,-26.888839109530288,0.06637222891236998,0.07812707883781876,1.1,0.8,0.0,0.09765884854727344,0.12629134376645165,0.10103307501316132,False,
2014-02-24,62.16067604166666,0.19775229286046506,-9.750202625,,176.16293592604177,,,,,,273.8734838125,,-14.786522499999995,,,2.2560538229166665,,-19.71897,-11.39337,,,,,,,173.59210046390405,-7.494148802083334,,1.16846644825591,0.8558226053410706,-8.756661433471594,2.636123197537605,0.8558226053410706,,-11.3927846310092,0.07686509970827783,0.08981429005096778,0.8,0.6,0.0,0.14969048341827965,0.12629134376645165,0.07577480625987099,False,
2014-02-25,58.34424229166667,0.14612394864496714,-16.032189145833332,,202.86466026666665,,,,,,278.71808170833333,,-18.357555208333334,,,1.4208678124999994,,-22.78536,-15.00354,,,,,,,175.84041725163254,-14.611321333333333,,1.159426539031487,0.8624953512236644,-16.940753724183594,1.647391850268114,0.8624953512236644,,-18.588145574451712,0.0482493980512452,0.05594163259290779,0.3,0.3,0.0,0.186472108643026,0.1338377621980505,0.04015132865941515,False,
2014-02-26,55.62780833333332,0.18322006586244247,,,160.96779703125,,,,,,265.2059790833333,,-16.883472354166667,,,,,-26.8186,-7.325099000000002,,,,,,,178.10680049091133,,,1.1565662380174289,0.8646283862774581,,3.0767618029912045,0.8646283862774581,,,,0.10462285339327934,1.1,0.7,0.0,,0.14946121913325622,0.10462285339327934,True,0.10462285339327934
2014-02-27,43.61312166666666,0.10148147676692572,,,202.18081874770832,,,,,,250.14532039583332,,-22.62828541666667,,,,,-28.47536,-18.465020000000006,,,,,,,180.39043577841665,,,1.1522824230926807,0.8678427961402374,,1.4788054230820789,0.8678427961402374,,,,0.05001860279857514,0.3,0.3,0.0,,0.16672867599525046,0.05001860279857514,True,0.05001860279857514
2014-02-28,63.34927020833336,0.18731851515643227,1.0694170520833337,,79.39424581583334,,,,,,172.57623637499995,,-16.249257916666668,,,2.505179625,,-24.98423,-10.00769,,,,,,,182.69049853747697,3.574596677083334,,1.154594769540281,0.8661047376805325,4.1272106265764865,2.8924672917838823,0.8661047376805325,,1.2347433347926031,0.08523688496688107,0.09841406155466748,0.8,0.6,3.5,0.1640234359244458,0.1752477722837359,0.10514866337024154,False,
2014-03-01,48.95346104166668,0.14865249760025373,,,106.06000388375004,,,,,,313.5743147500001,,-18.079746041666667,,,,,-20.794,-12.82985,,,,,,,185.00615466535038,,,1.1579293002780326,0.8636105846530423,,0.5479836884372166,0.8636105846530423,,,,0.018613062092487625,0.1,0.1,0.0,,0.18613062092487626,0.018613062092487625,True,0.018613062092487625
2014-03-02,49.20052895833333,0.10033273516688848,,,211.9451486927084,,,,,,266.5017502083333,,-22.93497458333333,,,,,-29.74232,-17.54576,,,,,,,187.33656119587815,,,1.1620245315463291,0.8605670300860863,,2.3305502931843134,0.8605670300860863,,,,0.07880538782640661,0.6,0.4,0.0,,0.19701346956601654,0.07880538782640661,True,0.07880538782640661
