date,rh,es,H,sw_out,sw_in,vpd,t_dew,vp,Rn,theta_1,ws,lw_in,t_avg,G,lw_out,LE,wd,t_min,t_max,Rn_subday_gaps,G_subday_gaps,H_subday_gaps,ppt,LE_subday_gaps,ASCE_ETo,rso,flux,energy,ebc_cf,ebr_5day_clim,flux_corr,LE_corr,ebr_corr,ebr,H_corr,ET,ET_corr,gridMET_ETr,gridMET_ETo,gridMET_prcp,EToF,EToF_filtered,ET_fill,ET_gap,ET_fill_val
2015-04-27,46.06053458333334,1.4078633866117791,,,333.3979766041668,0.9004095992395834,-2.7849662180889467,0.507453787372196,,,1.2008275041666667,,10.66737766875,,,,221.949483125,-0.9045447,20.11448,48,48,48,0.0,48,4.15709778359122,314.88530822836987,,,1.3193829300144928,0.7579300726507167,,17.836938328028506,0.7579300726507167,,,,0.6224664985044057,5.8,4.3,0.0,,0.14475965081497807,0.6224664985044057,True,0.6224664985044057
2015-04-28,61.131198125,1.4019885084203698,,,176.08436700458333,0.6619637328208333,2.3632010232617944,0.740024775599537,,,1.7162846729166672,,10.8015301,,,,279.62788418750006,0.2011825,18.30021,27,48,48,0.0,48,2.7953737705951833,316.70066591587243,,,1.3303828369134112,0.7516633349841431,,16.164391107613753,0.7516633349841431,,,,0.5641707747110134,5.2000003,3.9,0.0,,0.14465917300282394,0.5641707747110134,True,0.5641707747110134
2015-04-29,47.21145833333333,1.5976829075784398,,49.23079770833332,339.9337774999999,0.8777401506270835,2.090736505827189,0.7199427569513563,189.7519166666666,,2.9056794583333336,291.7712499999999,13.619856749999995,,392.72229166666665,,186.96376916666668,7.322847,18.935466,0,48,5,0.0,48,5.009088774107691,318.4881687028478,,,1.3333134833156033,0.7500111658012042,,19.00123691047582,0.7500111658012042,,,,0.6649699978770813,6.3,4.6,0.0,,0.14455869519066986,0.6649699978770813,True,0.6649699978770813
2015-04-30,47.98375000000001,1.5113189235943876,61.3747683541667,44.84147187499999,307.4895752083333,0.8296878150645832,1.3001436432858875,0.6816311085298042,166.7471458333334,,1.819847970833333,296.21770833333335,12.710044687499995,,392.11875000000015,,110.44867083333332,7.090967,18.490591,0,48,0,0.0,48,4.263640785631185,320.247417586952,,,1.3317571115656996,0.75088767412275,,16.525696270978973,0.75088767412275,,81.73628422635896,,0.5778328695140631,5.0,4.0,0.0,,0.14445821737851575,0.5778328695140631,True,0.5778328695140631
2015-05-01,72.46979166666667,1.4900124592093649,8.65909273958333,15.885801666666667,115.81515854166666,0.4146931752937499,7.269194671230043,1.0753192839156147,55.27045833333332,,2.9969864895833336,329.8431250000001,12.532157541666665,,374.501875,,173.79181458333332,6.056494,17.688325,0,48,6,1.35,48,2.266999329226677,321.9780260688392,,,1.3295991348687564,0.7521063858835236,,16.929933952419717,0.7521063858835236,,11.513122215298324,,0.5918667322220827,5.8,4.1,0.6,,0.14435773956636164,0.5918667322220827,True,0.5918667322220827
2015-05-02,63.42924999999999,2.308395607061436,68.14483794791668,46.22910895833334,316.51358500000003,1.0208875273895832,10.41431610414414,1.2875080796718523,180.44738541666663,,3.524126958333333,331.0679166666668,18.7852638125,,420.90541666666667,,194.58151458333333,8.08634,26.860465,0,48,7,0.0,48,5.52982898356952,323.6796199186908,,,1.3324910492681767,0.7504740842718713,,24.610368919437434,0.7504740842718713,,90.80238661942936,,0.8655435705252453,8.3,6.0,0.0,,0.14425726175420756,0.8655435705252453,True,0.8655435705252453
2015-05-03,76.8725625,2.191358928124333,,37.098988125,258.4217420833334,0.6146022370125,13.377726967997566,1.5767566911118338,150.20754583333334,,2.7652972229166672,348.05749999999995,18.16560517708333,,419.1720833333332,,183.5179173125,10.819694,27.712734,0,48,12,12.12,48,4.700585257064848,325.3518369348518,,,1.3320245599223672,0.7507369083782373,,20.506561181888188,0.7507369083782373,,,,0.7207839197102672,6.5,5.0,8.1,,0.14415678394205345,0.7207839197102672,True,0.7207839197102672
2015-05-04,54.25516666666667,1.7732248399979194,17.698641458333327,39.58146187499999,321.54921374999986,0.8717947814312502,5.165239058495588,0.9014300585666688,194.44777083333332,,2.466857079166666,304.456875,15.272103625,,391.97791666666666,,59.48362104166667,10.416548,20.570352,0,48,1,0.0,48,4.89024007221459,326.9943266958936,,,1.3267590179789852,0.7537163768619203,,18.905282341292708,0.7537163768619203,,23.481832160820485,,0.6626590081975369,6.2000003,4.6,0.0,,0.14405630612989934,0.6626590081975369,True,0.6626590081975369
2015-05-05,74.6950625,1.6651309679006594,,31.464825625,233.06503208333336,0.4235302242520835,9.437655121037563,1.2416007436485763,152.67463541666663,,3.879381333333333,340.721875,14.36503163541667,,389.6466666666667,,96.98068541666667,9.679687,19.397223,0,48,8,0.46,48,3.4716467350679907,328.60675030741606,,,1.322158736446179,0.7563388362035052,,20.141673666105486,0.7563388362035052,,,,0.7053835587569518,6.8,4.9,1.4,,0.14395582831774525,0.7053835587569518,True,0.7053835587569518
2015-05-06,93.37579416666668,1.9947971631942067,9.94858340625,22.503112708333337,175.5886658333333,0.15628480658541669,15.668413555110345,1.8385123566087902,126.16058125,,3.838531187500001,376.9897916666667,17.1108449375,,403.915,,118.2269875,12.544926,24.346844,0,48,7,0.0,48,2.9824896451458316,330.18878014490815,,,1.3186286468977657,0.7583636244765511,,19.665036764527255,0.7583636244765511,,13.118487075533002,,0.6905056824268375,6.8,4.8,1.7,,0.14385535050559115,0.6905056824268375,True,0.6905056824268375
2015-05-07,92.30518750000005,2.251724399259525,,11.261685416666667,92.79295479166665,0.1812410495375,17.671660655197112,2.0704833497220254,59.297960416666676,,4.382338114583332,387.8058333333333,19.317537364583334,,410.03958333333344,,,17.046767000000006,22.748917,0,48,13,14.05,48,1.945665507601551,331.7400995939543,,,1.3063358589417706,0.7654999234347547,,15.524339804444828,0.7654999234347547,,,,0.5462685162350607,5.2000003,3.8,14.3,,0.14375487269343706,0.5462685162350607,True,0.5462685162350607
